protein_id,experiment_name,time_stamp,n_chainbreaks,non_loop_fraction,non_loop_cutoff,radius_of_gyration,status,rejection_reason,error_reason
thl002950,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:04:55+00:00,0,0.6818181818,0.7,19.75746785,REJECTED,loopy_structure,
ths000846,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:21+00:00,0,0.6818181818,0.7,20.40152602,REJECTED,loopy_structure,
thx003478,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:45+00:00,0,0.6818181818,0.7,20.24113321,REJECTED,loopy_structure,
thx003915,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:46+00:00,0,0.6822033898,0.7,20.94764251,REJECTED,loopy_structure,
shx011160,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:00:59+00:00,0,0.6822429907,0.7,21.50623311,REJECTED,loopy_structure,
shx011676,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:24+00:00,0,0.6822429907,0.7,20.80456042,REJECTED,loopy_structure,
thx003937,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:55+00:00,0,0.6822429907,0.7,20.26377318,REJECTED,loopy_structure,
shl010318,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:53:03+00:00,0,0.6822916667,0.7,19.86309715,REJECTED,loopy_structure,
ths000889,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:31+00:00,0,0.6825396825,0.7,19.92440125,REJECTED,loopy_structure,
shx011549,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:53+00:00,0,0.6826086957,0.7,21.96151618,REJECTED,loopy_structure,
shx011063,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:00:55+00:00,0,0.6826923077,0.7,20.20884151,REJECTED,loopy_structure,
shx011292,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:11+00:00,0,0.6826923077,0.7,20.4078006,REJECTED,loopy_structure,
shx011790,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:57+00:00,0,0.6826923077,0.7,20.91317176,REJECTED,loopy_structure,
thx003222,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:09+00:00,0,0.6826923077,0.7,20.7071993,REJECTED,loopy_structure,
thx003893,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:38+00:00,0,0.6826923077,0.7,20.10568403,REJECTED,loopy_structure,
hsm013762,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:42:55+00:00,0,0.6829268293,0.7,18.44829312,REJECTED,loopy_structure,
htx007782,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:51:34+00:00,0,0.6829268293,0.7,19.50679232,REJECTED,loopy_structure,
shm009213,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:15+00:00,0,0.6829268293,0.7,19.70094369,REJECTED,loopy_structure,
shm009383,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:33+00:00,0,0.6829268293,0.7,19.98089736,REJECTED,loopy_structure,
thm001374,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:34+00:00,0,0.6829268293,0.7,19.45838525,REJECTED,loopy_structure,
htx007550,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:50:40+00:00,0,0.6830985915,0.7,19.31132001,REJECTED,loopy_structure,
shs008319,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:58:56+00:00,0,0.6830985915,0.7,22.38383252,REJECTED,loopy_structure,
shl010908,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:55:31+00:00,0,0.6833333333,0.7,20.79829007,REJECTED,loopy_structure,
shs008658,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:59:39+00:00,0,0.6833333333,0.7,22.20259478,REJECTED,loopy_structure,
ths000934,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:41+00:00,0,0.6833333333,0.7,19.43942137,REJECTED,loopy_structure,
shm009321,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:26+00:00,0,0.6835443038,0.7,19.34260915,REJECTED,loopy_structure,
