protein_id,experiment
thm001412,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001436,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001454,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001588,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001607,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001645,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001663,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001676,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001694,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001699,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001736,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001744,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001796,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001814,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001827,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001828,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001846,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001847,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001898,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001930,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001933,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001940,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001950,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001964,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001966,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001969,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001975,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm001979,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001984,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001987,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thm001994,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thm002000,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000001,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000006,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000020,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000030,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000053,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000059,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000071,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000075,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000096,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000109,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000111,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000123,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000163,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000187,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000199,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000221,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000231,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000250,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000272,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000284,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000296,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000315,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000341,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000346,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000362,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000363,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000395,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000411,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000426,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000441,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000454,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000473,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000488,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000491,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000499,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000507,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000510,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000525,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000538,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000571,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000576,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
